x,y,z,x_uncalibrated,y_uncalibrated,z_uncalibrated
16.332599639892578,10.77225112915039,-41.45795440673828,45.44502258300781,-16.292129516601562,74.44877624511719
16.264846801757812,10.895286560058594,-41.85191345214844,45.39921569824219,-16.37744140625,74.20494079589844
16.315845489501953,10.865655899047852,-41.689208984375,45.4541015625,-15.941757202148438,74.22296142578125
16.320587158203125,10.642423629760742,-41.613006591796875,45.41963195800781,-16.338272094726562,74.02665710449219
16.313961029052734,10.595308303833008,-41.75361633300781,45.45582580566406,-16.504348754882812,74.32958984375
16.235702514648438,10.826253890991211,-41.760223388671875,45.48027038574219,-16.226699829101562,74.33070373535156
16.271183013916016,10.878671646118164,-41.70838928222656,45.31059265136719,-16.225906372070312,74.20997619628906
15.874031066894531,9.926671981811523,-42.02662658691406,45.14854431152344,-16.831634521484375,74.22099304199219
15.50680160522461,7.788959503173828,-42.725746154785156,44.62873840332031,-18.473541259765625,73.48246765136719
15.376136779785156,5.6043548583984375,-43.20292663574219,44.497314453125,-20.675445556640625,73.04280090332031
15.05471420288086,2.624105453491211,-43.537818908691406,43.82398986816406,-26.745147705078125,72.52310180664062
13.596851348876953,-4.315082550048828,-43.48285675048828,42.811920166015625,-30.468032836914062,72.45780944824219
12.974685668945312,-7.335491180419922,-43.435585021972656,42.25251770019531,-33.3968505859375,72.7689208984375
11.676082611083984,-9.364635467529297,-43.37542724609375,41.48536682128906,-36.058197021484375,72.52780151367188
9.703189849853516,-12.081378936767578,-43.06641387939453,38.442718505859375,-41.905181884765625,73.361328125
9.037090301513672,-15.636165618896484,-41.88030242919922,38.47550964355469,-45.270904541015625,74.79594421386719
9.774208068847656,-25.525585174560547,-37.27626037597656,39.14268493652344,-50.89848327636719,77.891357421875
7.828182220458984,-30.850276947021484,-33.37644958496094,37.49708557128906,-56.06816101074219,81.10853576660156
4.971042633056641,-36.11865997314453,-28.15081024169922,35.03387451171875,-61.92735290527344,86.1014404296875
0.8266792297363281,-39.37369918823242,-23.705764770507812,25.850311279296875,-67.57711791992188,94.54780578613281
-13.259953498840332,-40.25590133666992,-16.711883544921875,18.475875854492188,-67.60598754882812,97.69535827636719
-22.045686721801758,-37.70255661010742,-11.268722534179688,10.116439819335938,-66.06820678710938,103.10882568359375
-31.328025817871094,-31.436626434326172,-6.098258972167969,0.716766357421875,-60.999847412109375,108.29043579101562
-38.17736053466797,-23.30237579345703,-1.0637054443359375,-11.42742919921875,-46.39527893066406,117.5
-41.31474685668945,-17.64615249633789,2.7820510864257812,-13.622634887695312,-41.0875244140625,121.08253479003906
-43.32957458496094,-11.898933410644531,6.0850830078125,-15.4122314453125,-34.15193176269531,123.93142700195312
-44.866546630859375,1.6500186920166016,10.961738586425781,-15.91259765625,-27.388992309570312,126.3526611328125
-44.41232681274414,7.2548065185546875,13.179649353027344,-15.677093505859375,-21.7694091796875,128.4757080078125
-42.525718688964844,13.41840648651123,16.13733673095703,-14.224227905273438,-15.508743286132812,131.2958526611328
-39.612388610839844,18.544923782348633,19.44068145751953,-11.524993896484375,-10.106201171875,134.55746459960938
-37.25382614135742,21.581008911132812,21.59026336669922,-8.859237670898438,-6.0204010009765625,137.0343475341797
-35.790122985839844,22.77550506591797,23.44573211669922,-6.6976776123046875,-4.866668701171875,140.04771423339844
-36.12450408935547,21.44943618774414,23.748680114746094,-7.8802947998046875,-6.6386871337890625,139.52554321289062
-37.18975067138672,19.95538330078125,23.28791046142578,-8.884429931640625,-8.268203735351562,138.8613739013672
-38.49492263793945,17.901214599609375,22.489723205566406,-11.152069091796875,-11.411239624023438,136.7230224609375
-42.85257339477539,9.471452713012695,17.431175231933594,-13.428924560546875,-16.705123901367188,134.09869384765625
-44.06501388549805,6.725179672241211,15.082969665527344,-14.597946166992188,-19.66644287109375,131.9977264404297
-44.718017578125,4.657587051391602,12.873527526855469,-15.762069702148438,-23.365798950195312,127.92965698242188
-45.12602233886719,3.0690860748291016,11.260833740234375,-16.764404296875,-26.923995971679688,123.37075805664062
-45.774810791015625,-3.421518325805664,-2.1610260009765625,-16.848403930664062,-30.319046020507812,115.52877807617188
-44.75630569458008,-3.826814651489258,-9.4925537109375,-16.172103881835938,-30.673736572265625,109.18421936035156
-42.19132995605469,-2.468595504760742,-18.048187255859375,-13.991775512695312,-30.240478515625,100.63371276855469
-38.472137451171875,0.647674560546875,-25.58599853515625,-5.1245574951171875,-23.706954956054688,85.06292724609375
-13.992372512817383,8.384698867797852,-43.671836853027344,5.0504302978515625,-19.619415283203125,76.95913696289062
4.089946746826172,4.393728256225586,-46.10722351074219,27.486480712890625,-19.841033935546875,70.07119750976562
12.064521789550781,5.329517364501953,-44.768470764160156,37.711456298828125,-22.877822875976562,70.37051391601562
17.884159088134766,6.625568389892578,-42.72212219238281,43.62553405761719,-20.6749267578125,72.19659423828125
24.741352081298828,6.757762908935547,-39.377174377441406,56.17143249511719,-20.027908325195312,78.32615661621094
33.04599380493164,9.889142990112305,-31.812110900878906,59.73796081542969,-18.325271606445312,81.518798828125
38.02296447753906,9.620262145996094,-26.279617309570312,64.60659790039062,-16.95355224609375,86.90313720703125
41.70532989501953,8.732746124267578,-20.996124267578125,69.32363891601562,-18.192764282226562,92.45848083496094
43.42218780517578,8.804994583129883,-17.25450897216797,71.92349243164062,-18.120269775390625,97.34375
44.47747802734375,7.375795364379883,-15.269493103027344,74.02058410644531,-20.9346923828125,101.21168518066406
45.115684509277344,4.160467147827148,-15.295967102050781,73.80409240722656,-24.974945068359375,99.13548278808594
44.10981750488281,0.38602256774902344,-18.665740966796875,72.95306396484375,-28.394683837890625,96.36019897460938
43.168067932128906,-3.8666515350341797,-21.146644592285156,72.08137512207031,-30.897567749023438,94.95875549316406
42.665130615234375,-4.758100509643555,-21.997711181640625,70.87385559082031,-32.45133972167969,92.66169738769531
41.203651428222656,-6.164112091064453,-24.315658569335938,69.68458557128906,-33.89768981933594,90.68087768554688
