x,y,z,x_uncalibrated,y_uncalibrated,z_uncalibrated
22.60602569580078,2.7355575561523438,-37.61619567871094,51.79656982421875,-24.627777099609375,78.21609497070312
22.858436584472656,2.210254669189453,-37.787452697753906,51.77984619140625,-25.172897338867188,77.81703186035156
22.067630767822266,1.705678939819336,-38.54161071777344,49.886474609375,-25.974609375,76.72384643554688
17.774768829345703,2.056304931640625,-41.084808349609375,47.661468505859375,-25.367416381835938,75.43440246582031
15.431446075439453,2.8381004333496094,-42.24498748779297,45.23194885253906,-24.388458251953125,74.09663391113281
14.831405639648438,4.480922698974609,-42.59501647949219,44.53068542480469,-21.3743896484375,73.70216369628906
16.012985229492188,6.527151107788086,-42.26354217529297,45.495697021484375,-19.95758056640625,73.75477600097656
16.992084503173828,8.872026443481445,-41.660133361816406,45.589874267578125,-18.393600463867188,74.20002746582031
17.52962875366211,8.316099166870117,-41.77973937988281,45.81477355957031,-19.737503051757812,74.1328125
14.82928466796875,5.808818817138672,-43.14830780029297,42.00224304199219,-22.821792602539062,72.0042724609375
10.577869415283203,3.3770809173583984,-44.377784729003906,36.39784240722656,-24.329376220703125,71.2197265625
3.4038314819335938,1.0118675231933594,-45.551292419433594,28.844863891601562,-28.425888061523438,70.46868896484375
-15.612874031066895,-8.879352569580078,-41.060333251953125,19.004302978515625,-33.446624755859375,72.35830688476562
-24.67043113708496,-14.487716674804688,-33.47682189941406,0.8503570556640625,-44.3819580078125,87.38671875
-31.163593292236328,-19.567241668701172,-22.815872192382812,-4.2374267578125,-48.75013732910156,99.06837463378906
-34.46232604980469,-25.367996215820312,2.0164337158203125,-5.76019287109375,-51.81005859375,111.841796875
-31.08493995666504,-26.273727416992188,14.197883605957031,1.147918701171875,-53.52095031738281,136.1251220703125
-23.399433135986328,-26.165904998779297,26.51628875732422,11.165313720703125,-53.08763122558594,147.7371826171875
-11.016630172729492,-25.88385772705078,35.48503875732422,23.856781005859375,-53.351715087890625,152.5709228515625
-1.10162353515625,-28.025413513183594,36.550193786621094,29.956085205078125,-57.37205505371094,150.77627563476562
2.962421417236328,-33.350128173828125,31.76880645751953,34.29559326171875,-63.60435485839844,144.1870880126953
